"active","price","created_at","id","name","description","sku"
True,"42.67","2025-04-01 00:15:32.6374+02","39","Business Strategy 20","Engaging and thought-provoking mystery thriller that keeps you guessing.","SKU0039"
True,"1942.78","2025-10-25 00:15:32.6374+02","40","Smartphone 1","High-quality professional-grade smartphone with latest features.","SKU0040"
True,"163.63","2025-08-05 00:15:32.6374+02","41","Shorts B2","Comfortable and stylish trendy jeans with perfect fit.","SKU0041"
True,"43.10","2025-01-03 00:15:32.6374+01","42","Lamp 3","Elegant and durable lamp that creates a cozy atmosphere.","SKU0042"
False,"145.99","2025-11-03 00:15:32.6374+01","43","Water Bottle 4","Durable and reliable insulated water bottle for all your adventures.","SKU0043"
True,"35.07","2025-04-20 00:15:32.6374+02","44","Mystery Thriller 5","Captivating and well-written mystery thriller that keeps you guessing.","SKU0044"
True,"1193.69","2025-09-11 00:15:32.6374+02","45","Bluetooth Speaker 6","High-quality premium smartphone with latest features.","SKU0045"
True,"120.65","2025-02-15 00:15:32.6374+01","46","Hoodie G5","Comfortable and stylish fashionable dress for any occasion.","SKU0046"
True,"230.86","2025-06-19 00:15:32.6374+02","47","Lamp 3","Stylish and practical lamp that creates a cozy atmosphere.","SKU0047"
True,"163.48","2025-05-10 00:15:32.6374+02","48","Basketball 4","High-performance basketball for indoor and outdoor play.","SKU0048"
True,"13.37","2025-09-22 00:15:32.6374+02","49","Cookbook 10","Inspiring and informative mystery thriller that keeps you guessing.","SKU0049"
False,"1561.75","2025-06-29 00:15:32.6374+02","50","Headphones 6","High-quality high-performance smartphone with latest features.","SKU0050"
True,"142.60","2025-02-25 00:15:32.6374+01","51","Jacket L2","Comfortable and stylish casual jacket for all seasons.","SKU0051"
True,"76.03","2025-09-09 00:15:32.6374+02","52","Lamp 3","Modern and functional lamp that creates a cozy atmosphere.","SKU0052"
True,"140.14","2025-05-30 00:15:32.6374+02","53","Running Shoes 4","Premium quality running shoes for maximum comfort.","SKU0053"
True,"15.09","2025-03-22 00:15:32.6374+01","54","Historical Fiction 15","Engaging and thought-provoking mystery thriller that keeps you guessing.","SKU0054"
True,"214.74","2025-07-19 00:15:32.6374+02","55","Fitness Tracker 1","High-quality professional-grade smartphone with latest features.","SKU0055"
True,"114.81","2025-09-20 00:15:32.6374+02","56","Dress Q3","Comfortable and stylish trendy t-shirt made from premium cotton.","SKU0056"
True,"303.95","2025-01-11 00:15:32.6374+01","57","Lamp 3","Elegant and durable lamp that creates a cozy atmosphere.","SKU0057"
True,"126.33","2025-02-26 00:15:32.6374+01","58","Yoga Mat 4","Durable and reliable yoga mat with excellent grip.","SKU0058"
True,"16.24","2025-07-16 00:15:32.6374+02","59","Biography 20","Captivating and well-written mystery thriller that keeps you guessing.","SKU0059"
True,"787.63","2025-09-19 00:15:32.6374+02","60","Tablet 1","High-quality premium smartphone with latest features.","SKU0060"
True,"156.10","2025-07-23 00:15:32.6374+02","61","Jeans B6","Comfortable and stylish fashionable jeans with perfect fit.","SKU0061"
True,"214.32","2025-06-08 00:15:32.6374+02","62","Lamp 3","Stylish and practical lamp that creates a cozy atmosphere.","SKU0062"
True,"294.45","2025-02-19 00:15:32.6374+01","63","Water Bottle 4","High-performance insulated water bottle for all your adventures.","SKU0063"
False,"29.81","2025-03-20 00:15:32.6374+01","64","Science Fiction Novel 5","Inspiring and informative mystery thriller that keeps you guessing.","SKU0064"
True,"1126.61","2025-12-05 00:15:32.6374+01","65","Laptop 6","High-quality high-performance smartphone with latest features.","SKU0065"
True,"91.28","2025-09-24 00:15:32.6374+02","66","T-Shirt G7","Comfortable and stylish casual dress for any occasion.","SKU0066"
True,"417.57","2025-06-11 00:15:32.6374+02","67","Lamp 3","Modern and functional lamp that creates a cozy atmosphere.","SKU0067"
True,"104.88","2025-02-25 00:15:32.6374+01","68","Basketball 4","Premium quality basketball for indoor and outdoor play.","SKU0068"
True,"9.41","2025-08-21 00:15:32.6374+02","69","Fantasy Epic 10","Engaging and thought-provoking mystery thriller that keeps you guessing.","SKU0069"
False,"1585.49","2025-05-11 00:15:32.6374+02","70","Gaming Console 2","High-quality professional-grade smartphone with latest features.","SKU0070"
True,"190.70","2025-05-04 00:15:32.6374+02","71","Shorts L4","Comfortable and stylish trendy jacket for all seasons.","SKU0071"
False,"376.49","2025-06-11 00:15:32.6374+02","72","Lamp 3","Elegant and durable lamp that creates a cozy atmosphere.","SKU0072"
False,"217.91","2025-05-21 00:15:32.6374+02","73","Running Shoes 4","Durable and reliable running shoes for maximum comfort.","SKU0073"
True,"31.31","2025-01-03 00:15:32.6374+01","74","Self-Help Guide 15","Captivating and well-written mystery thriller that keeps you guessing.","SKU0074"
True,"374.04","2025-10-15 00:15:32.6374+02","75","Smart Watch 4","High-quality premium smartphone with latest features.","SKU0075"
True,"29.55","2025-05-10 00:15:32.6374+02","76","Hoodie Q7","Comfortable and stylish fashionable t-shirt made from premium cotton.","SKU0076"
True,"403.26","2025-08-04 00:15:32.6374+02","77","Lamp 3","Stylish and practical lamp that creates a cozy atmosphere.","SKU0077"
True,"108.75","2025-07-27 00:15:32.6374+02","78","Yoga Mat 4","High-performance yoga mat with excellent grip.","SKU0078"
True,"30.80","2025-03-17 00:15:32.6374+01","79","Business Strategy 20","Inspiring and informative mystery thriller that keeps you guessing.","SKU0079"
True,"1344.51","2025-08-10 00:15:32.6374+02","80","Smartphone 1","High-quality high-performance smartphone with latest features.","SKU0080"
True,"98.59","2024-12-30 00:15:32.6374+01","81","Jacket B2","Comfortable and stylish casual jeans with perfect fit.","SKU0081"
True,"394.52","2025-12-18 00:15:32.6374+01","82","Lamp 3","Modern and functional lamp that creates a cozy atmosphere.","SKU0082"
True,"70.12","2025-04-02 00:15:32.6374+02","83","Water Bottle 4","Premium quality insulated water bottle for all your adventures.","SKU0083"
True,"39.39","2025-06-12 00:15:32.6374+02","84","Mystery Thriller 5","Engaging and thought-provoking mystery thriller that keeps you guessing.","SKU0084"
True,"1025.10","2025-07-18 00:15:32.6374+02","85","Bluetooth Speaker 6","High-quality professional-grade smartphone with latest features.","SKU0085"
True,"143.17","2025-08-31 00:15:32.6374+02","86","Dress G3","Comfortable and stylish trendy dress for any occasion.","SKU0086"
True,"445.48","2025-09-13 00:15:32.6374+02","87","Lamp 3","Elegant and durable lamp that creates a cozy atmosphere.","SKU0087"
True,"219.09","2025-01-09 00:15:32.6374+01","88","Basketball 4","Durable and reliable basketball for indoor and outdoor play.","SKU0088"
True,"49.59","2025-01-27 00:15:32.6374+01","89","Cookbook 10","Captivating and well-written mystery thriller that keeps you guessing.","SKU0089"
False,"934.35","2025-12-08 00:15:32.6374+01","90","Headphones 1","High-quality premium smartphone with latest features.","SKU0090"
True,"112.62","2025-08-17 00:15:32.6374+02","91","Jeans L4","Comfortable and stylish fashionable jacket for all seasons.","SKU0091"
True,"413.85","2025-06-25 00:15:32.6374+02","92","Lamp 3","Stylish and practical lamp that creates a cozy atmosphere.","SKU0092"
True,"36.91","2025-10-15 00:15:32.6374+02","93","Running Shoes 4","High-performance running shoes for maximum comfort.","SKU0093"
False,"26.37","2024-12-27 00:15:32.6374+01","94","Historical Fiction 15","Inspiring and informative mystery thriller that keeps you guessing.","SKU0094"
True,"182.34","2025-12-08 00:15:32.6374+01","95","Fitness Tracker 1","High-quality high-performance smartphone with latest features.","SKU0095"
True,"168.12","2025-12-02 00:15:32.6374+01","96","T-Shirt Q7","Comfortable and stylish casual t-shirt made from premium cotton.","SKU0096"
True,"311.96","2025-11-21 00:15:32.6374+01","97","Lamp 3","Modern and functional lamp that creates a cozy atmosphere.","SKU0097"
True,"114.42","2025-04-15 00:15:32.6374+02","98","Yoga Mat 4","Premium quality yoga mat with excellent grip.","SKU0098"
True,"48.38","2025-04-29 00:15:32.6374+02","99","Biography 20","Engaging and thought-provoking mystery thriller that keeps you guessing.","SKU0099"
True,"1451.04","2025-06-22 00:15:32.6374+02","100","Tablet 1","High-quality professional-grade smartphone with latest features.","SKU0100"
True,"127.40","2025-08-18 00:15:32.6374+02","101","Shorts B2","Comfortable and stylish trendy jeans with perfect fit.","SKU0101"
True,"125.86","2025-09-30 00:15:32.6374+02","102","Lamp 3","Elegant and durable lamp that creates a cozy atmosphere.","SKU0102"
True,"36.74","2025-05-13 00:15:32.6374+02","103","Water Bottle 4","Durable and reliable insulated water bottle for all your adventures.","SKU0103"
True,"24.92","2025-07-07 00:15:32.6374+02","104","Science Fiction Novel 5","Captivating and well-written mystery thriller that keeps you guessing.","SKU0104"
True,"1808.03","2025-11-22 00:15:32.6374+01","105","Laptop 6","High-quality premium smartphone with latest features.","SKU0105"
True,"150.53","2025-03-23 00:15:32.6374+01","106","Hoodie G2","Comfortable and stylish fashionable dress for any occasion.","SKU0106"
True,"391.02","2025-07-10 00:15:32.6374+02","107","Lamp 3","Stylish and practical lamp that creates a cozy atmosphere.","SKU0107"
True,"15.16","2025-11-18 00:15:32.6374+01","108","Basketball 4","High-performance basketball for indoor and outdoor play.","SKU0108"
True,"29.86","2025-12-19 00:15:32.6374+01","109","Fantasy Epic 10","Inspiring and informative mystery thriller that keeps you guessing.","SKU0109"
True,"1228.58","2025-04-13 00:15:32.6374+02","110","Gaming Console 3","High-quality high-performance smartphone with latest features.","SKU0110"
True,"111.89","2025-04-20 00:15:32.6374+02","111","Jacket L2","Comfortable and stylish casual jacket for all seasons.","SKU0111"
True,"24.37","2025-05-26 00:15:32.6374+02","112","Lamp 3","Modern and functional lamp that creates a cozy atmosphere.","SKU0112"
True,"268.53","2025-06-14 00:15:32.6374+02","113","Running Shoes 4","Premium quality running shoes for maximum comfort.","SKU0113"
True,"11.07","2025-04-13 00:15:32.6374+02","114","Self-Help Guide 15","Engaging and thought-provoking mystery thriller that keeps you guessing.","SKU0114"
True,"572.45","2025-01-09 00:15:32.6374+01","115","Smart Watch 4","High-quality professional-grade smartphone with latest features.","SKU0115"
True,"22.95","2025-06-16 00:15:32.6374+02","116","Dress Q3","Comfortable and stylish trendy t-shirt made from premium cotton.","SKU0116"
True,"213.78","2025-02-20 00:15:32.6374+01","117","Lamp 3","Elegant and durable lamp that creates a cozy atmosphere.","SKU0117"
False,"103.11","2025-06-13 00:15:32.6374+02","118","Yoga Mat 4","Durable and reliable yoga mat with excellent grip.","SKU0118"
False,"49.00","2025-09-24 00:15:32.6374+02","119","Business Strategy 20","Captivating and well-written mystery thriller that keeps you guessing.","SKU0119"
True,"1521.10","2025-12-22 00:15:32.6374+01","120","Smartphone 1","High-quality premium smartphone with latest features.","SKU0120"
True,"74.69","2025-12-04 00:15:32.6374+01","121","Jeans B2","Comfortable and stylish fashionable jeans with perfect fit.","SKU0121"
False,"88.77","2025-07-26 00:15:32.6374+02","122","Lamp 3","Stylish and practical lamp that creates a cozy atmosphere.","SKU0122"
True,"16.97","2025-05-21 00:15:32.6374+02","123","Water Bottle 4","High-performance insulated water bottle for all your adventures.","SKU0123"
True,"46.11","2025-09-04 00:15:32.6374+02","124","Mystery Thriller 5","Inspiring and informative mystery thriller that keeps you guessing.","SKU0124"
True,"1301.11","2025-01-11 00:15:32.6374+01","125","Bluetooth Speaker 6","High-quality high-performance smartphone with latest features.","SKU0125"
True,"154.29","2025-09-26 00:15:32.6374+02","126","T-Shirt G7","Comfortable and stylish casual dress for any occasion.","SKU0126"
True,"116.88","2025-05-13 00:15:32.6374+02","127","Lamp 3","Modern and functional lamp that creates a cozy atmosphere.","SKU0127"
True,"278.85","2025-12-20 00:15:32.6374+01","128","Basketball 4","Premium quality basketball for indoor and outdoor play.","SKU0128"
True,"27.35","2025-12-07 00:15:32.6374+01","129","Cookbook 10","Engaging and thought-provoking mystery thriller that keeps you guessing.","SKU0129"
True,"1980.43","2025-01-07 00:15:32.6374+01","130","Headphones 11","High-quality professional-grade smartphone with latest features.","SKU0130"
True,"49.94","2025-02-24 00:15:32.6374+01","131","Shorts L4","Comfortable and stylish trendy jacket for all seasons.","SKU0131"
True,"237.78","2025-01-27 00:15:32.6374+01","132","Lamp 3","Elegant and durable lamp that creates a cozy atmosphere.","SKU0132"
True,"290.25","2025-05-22 00:15:32.6374+02","133","Running Shoes 4","Durable and reliable running shoes for maximum comfort.","SKU0133"
False,"6.26","2025-09-15 00:15:32.6374+02","134","Historical Fiction 15","Captivating and well-written mystery thriller that keeps you guessing.","SKU0134"
True,"1641.46","2025-06-25 00:15:32.6374+02","135","Fitness Tracker 1","High-quality premium smartphone with latest features.","SKU0135"
True,"39.13","2025-08-29 00:15:32.6374+02","136","Hoodie Q4","Comfortable and stylish fashionable t-shirt made from premium cotton.","SKU0136"
True,"238.78","2025-01-21 00:15:32.6374+01","137","Lamp 3","Stylish and practical lamp that creates a cozy atmosphere.","SKU0137"
True,"74.28","2025-05-27 00:15:32.6374+02","138","Yoga Mat 4","High-performance yoga mat with excellent grip.","SKU0138"
True,"24.51","2025-06-27 00:15:32.6374+02","139","Biography 20","Inspiring and informative mystery thriller that keeps you guessing.","SKU0139"
True,"1115.55","2025-04-11 00:15:32.6374+02","140","Tablet 1","High-quality high-performance smartphone with latest features.","SKU0140"
True,"43.89","2025-01-07 00:15:32.6374+01","141","Jacket B2","Comfortable and stylish casual jeans with perfect fit.","SKU0141"
True,"75.47","2025-04-16 00:15:32.6374+02","142","Lamp 3","Modern and functional lamp that creates a cozy atmosphere.","SKU0142"
True,"29.44","2025-06-29 00:15:32.6374+02","143","Water Bottle 4","Premium quality insulated water bottle for all your adventures.","SKU0143"
True,"31.82","2025-11-10 00:15:32.6374+01","144","Science Fiction Novel 5","Engaging and thought-provoking mystery thriller that keeps you guessing.","SKU0144"
True,"1240.17","2025-06-05 00:15:32.6374+02","145","Laptop 6","High-quality professional-grade smartphone with latest features.","SKU0145"
True,"105.31","2025-11-21 00:15:32.6374+01","146","Dress G3","Comfortable and stylish trendy dress for any occasion.","SKU0146"
True,"489.56","2025-09-02 00:15:32.6374+02","147","Lamp 3","Elegant and durable lamp that creates a cozy atmosphere.","SKU0147"
True,"217.44","2025-10-11 00:15:32.6374+02","148","Basketball 4","Durable and reliable basketball for indoor and outdoor play.","SKU0148"
True,"11.34","2025-12-17 00:15:32.6374+01","149","Fantasy Epic 10","Captivating and well-written mystery thriller that keeps you guessing.","SKU0149"
False,"832.44","2025-10-06 00:15:32.6374+02","150","Gaming Console 1","High-quality premium smartphone with latest features.","SKU0150"
False,"110.94","2025-07-24 00:15:32.6374+02","151","Jeans L8","Comfortable and stylish fashionable jacket for all seasons.","SKU0151"
True,"256.16","2025-09-11 00:15:32.6374+02","152","Lamp 3","Stylish and practical lamp that creates a cozy atmosphere.","SKU0152"
True,"66.90","2025-06-15 00:15:32.6374+02","153","Running Shoes 4","High-performance running shoes for maximum comfort.","SKU0153"
True,"47.34","2025-03-05 00:15:32.6374+01","154","Self-Help Guide 15","Inspiring and informative mystery thriller that keeps you guessing.","SKU0154"
True,"1604.07","2025-02-15 00:15:32.6374+01","155","Smart Watch 4","High-quality high-performance smartphone with latest features.","SKU0155"
True,"44.91","2025-01-07 00:15:32.6374+01","156","T-Shirt Q7","Comfortable and stylish casual t-shirt made from premium cotton.","SKU0156"
True,"398.17","2025-11-15 00:15:32.6374+01","157","Lamp 3","Modern and functional lamp that creates a cozy atmosphere.","SKU0157"
True,"176.67","2025-08-26 00:15:32.6374+02","158","Yoga Mat 4","Premium quality yoga mat with excellent grip.","SKU0158"
True,"43.85","2025-02-20 00:15:32.6374+01","159","Business Strategy 20","Engaging and thought-provoking mystery thriller that keeps you guessing.","SKU0159"
True,"506.92","2025-01-16 00:15:32.6374+01","160","Smartphone 1","High-quality professional-grade smartphone with latest features.","SKU0160"
True,"107.62","2025-05-04 00:15:32.6374+02","161","Shorts B2","Comfortable and stylish trendy jeans with perfect fit.","SKU0161"
True,"32.84","2025-06-26 00:15:32.6374+02","162","Lamp 3","Elegant and durable lamp that creates a cozy atmosphere.","SKU0162"
True,"77.60","2025-10-26 00:15:32.6374+02","163","Water Bottle 4","Durable and reliable insulated water bottle for all your adventures.","SKU0163"
True,"36.86","2025-09-05 00:15:32.6374+02","164","Mystery Thriller 5","Captivating and well-written mystery thriller that keeps you guessing.","SKU0164"
True,"543.88","2025-06-17 00:15:32.6374+02","165","Bluetooth Speaker 6","High-quality premium smartphone with latest features.","SKU0165"
True,"142.38","2025-05-01 00:15:32.6374+02","166","Hoodie G6","Comfortable and stylish fashionable dress for any occasion.","SKU0166"
True,"445.07","2025-08-27 00:15:32.6374+02","167","Lamp 3","Stylish and practical lamp that creates a cozy atmosphere.","SKU0167"
True,"129.67","2025-11-11 00:15:32.6374+01","168","Basketball 4","High-performance basketball for indoor and outdoor play.","SKU0168"
True,"35.98","2025-10-17 00:15:32.6374+02","169","Cookbook 10","Inspiring and informative mystery thriller that keeps you guessing.","SKU0169"
True,"1087.23","2025-05-24 00:15:32.6374+02","170","Headphones 6","High-quality high-performance smartphone with latest features.","SKU0170"
True,"75.70","2025-10-24 00:15:32.6374+02","171","Jacket L2","Comfortable and stylish casual jacket for all seasons.","SKU0171"
True,"139.28","2025-08-06 00:15:32.6374+02","172","Lamp 3","Modern and functional lamp that creates a cozy atmosphere.","SKU0172"
True,"186.02","2025-11-05 00:15:32.6374+01","173","Running Shoes 4","Premium quality running shoes for maximum comfort.","SKU0173"
True,"21.49","2025-07-28 00:15:32.6374+02","174","Historical Fiction 15","Engaging and thought-provoking mystery thriller that keeps you guessing.","SKU0174"
True,"1983.30","2025-05-29 00:15:32.6374+02","175","Fitness Tracker 1","High-quality professional-grade smartphone with latest features.","SKU0175"
True,"109.54","2025-11-16 00:15:32.6374+01","176","Dress Q3","Comfortable and stylish trendy t-shirt made from premium cotton.","SKU0176"
True,"182.98","2025-03-13 00:15:32.6374+01","177","Lamp 3","Elegant and durable lamp that creates a cozy atmosphere.","SKU0177"
True,"85.74","2025-10-19 00:15:32.6374+02","178","Yoga Mat 4","Durable and reliable yoga mat with excellent grip.","SKU0178"
True,"32.52","2025-10-26 00:15:32.6374+02","179","Biography 20","Captivating and well-written mystery thriller that keeps you guessing.","SKU0179"
True,"1934.43","2025-06-16 00:15:32.6374+02","180","Tablet 1","High-quality premium smartphone with latest features.","SKU0180"
True,"124.42","2025-04-18 00:15:32.6374+02","181","Jeans B6","Comfortable and stylish fashionable jeans with perfect fit.","SKU0181"
True,"462.84","2025-12-09 00:15:32.6374+01","182","Lamp 3","Stylish and practical lamp that creates a cozy atmosphere.","SKU0182"
True,"171.54","2025-09-12 00:15:32.6374+02","183","Water Bottle 4","High-performance insulated water bottle for all your adventures.","SKU0183"
True,"25.03","2025-02-14 00:15:32.6374+01","184","Science Fiction Novel 5","Inspiring and informative mystery thriller that keeps you guessing.","SKU0184"
True,"750.16","2025-01-27 00:15:32.6374+01","185","Laptop 6","High-quality high-performance smartphone with latest features.","SKU0185"
True,"121.35","2025-01-15 00:15:32.6374+01","186","T-Shirt G7","Comfortable and stylish casual dress for any occasion.","SKU0186"
True,"52.17","2025-03-10 00:15:32.6374+01","187","Lamp 3","Modern and functional lamp that creates a cozy atmosphere.","SKU0187"
True,"235.96","2025-01-03 00:15:32.6374+01","188","Basketball 4","Premium quality basketball for indoor and outdoor play.","SKU0188"
True,"26.29","2025-02-09 00:15:32.6374+01","189","Fantasy Epic 10","Engaging and thought-provoking mystery thriller that keeps you guessing.","SKU0189"
True,"1996.22","2025-08-03 00:15:32.6374+02","190","Gaming Console 2","High-quality professional-grade smartphone with latest features.","SKU0190"
True,"145.29","2025-12-25 00:15:32.6374+01","191","Shorts L4","Comfortable and stylish trendy jacket for all seasons.","SKU0191"
True,"426.59","2025-04-22 00:15:32.6374+02","192","Lamp 3","Elegant and durable lamp that creates a cozy atmosphere.","SKU0192"
True,"72.75","2025-01-23 00:15:32.6374+01","193","Running Shoes 4","Durable and reliable running shoes for maximum comfort.","SKU0193"
True,"17.63","2025-07-25 00:15:32.6374+02","194","Self-Help Guide 15","Captivating and well-written mystery thriller that keeps you guessing.","SKU0194"
True,"186.68","2025-09-14 00:15:32.6374+02","195","Smart Watch 4","High-quality premium smartphone with latest features.","SKU0195"
True,"61.88","2025-08-18 00:15:32.6374+02","196","Hoodie Q1","Comfortable and stylish fashionable t-shirt made from premium cotton.","SKU0196"
True,"203.77","2025-08-03 00:15:32.6374+02","197","Lamp 3","Stylish and practical lamp that creates a cozy atmosphere.","SKU0197"
True,"110.92","2025-07-23 00:15:32.6374+02","198","Yoga Mat 4","High-performance yoga mat with excellent grip.","SKU0198"
True,"6.87","2025-09-29 00:15:32.6374+02","199","Business Strategy 20","Inspiring and informative mystery thriller that keeps you guessing.","SKU0199"
True,"1832.76","2025-02-06 00:15:32.6374+01","200","Smartphone 1","High-quality high-performance smartphone with latest features.","SKU0200"
True,"134.18","2025-10-24 00:15:32.6374+02","201","Jacket B2","Comfortable and stylish casual jeans with perfect fit.","SKU0201"
True,"330.38","2025-11-08 00:15:32.6374+01","202","Lamp 3","Modern and functional lamp that creates a cozy atmosphere.","SKU0202"
True,"205.06","2025-12-18 00:15:32.6374+01","203","Water Bottle 4","Premium quality insulated water bottle for all your adventures.","SKU0203"
True,"21.84","2025-01-25 00:15:32.6374+01","204","Mystery Thriller 5","Engaging and thought-provoking mystery thriller that keeps you guessing.","SKU0204"
True,"1869.97","2025-10-06 00:15:32.6374+02","205","Bluetooth Speaker 6","High-quality professional-grade smartphone with latest features.","SKU0205"
True,"139.13","2025-09-20 00:15:32.6374+02","206","Dress G3","Comfortable and stylish trendy dress for any occasion.","SKU0206"
True,"106.86","2025-12-04 00:15:32.6374+01","207","Lamp 3","Elegant and durable lamp that creates a cozy atmosphere.","SKU0207"
True,"49.21","2025-10-23 00:15:32.6374+02","208","Basketball 4","Durable and reliable basketball for indoor and outdoor play.","SKU0208"
True,"49.08","2025-10-29 00:15:32.6374+01","209","Cookbook 10","Captivating and well-written mystery thriller that keeps you guessing.","SKU0209"
True,"546.57","2025-10-21 00:15:32.6374+02","210","Headphones 1","High-quality premium smartphone with latest features.","SKU0210"
False,"101.64","2025-01-30 00:15:32.6374+01","211","Jeans L4","Comfortable and stylish fashionable jacket for all seasons.","SKU0211"
True,"268.40","2025-09-12 00:15:32.6374+02","212","Lamp 3","Stylish and practical lamp that creates a cozy atmosphere.","SKU0212"
True,"179.07","2025-06-26 00:15:32.6374+02","213","Running Shoes 4","High-performance running shoes for maximum comfort.","SKU0213"
True,"17.49","2025-09-15 00:15:32.6374+02","214","Historical Fiction 15","Inspiring and informative mystery thriller that keeps you guessing.","SKU0214"
True,"262.91","2025-01-04 00:15:32.6374+01","215","Fitness Tracker 1","High-quality high-performance smartphone with latest features.","SKU0215"
True,"171.11","2025-11-19 00:15:32.6374+01","216","T-Shirt Q7","Comfortable and stylish casual t-shirt made from premium cotton.","SKU0216"
True,"310.06","2025-04-03 00:15:32.6374+02","217","Lamp 3","Modern and functional lamp that creates a cozy atmosphere.","SKU0217"
