"active","price","created_at","id","name","description","sku","categories","in_stock"
"True","214.32","2025-06-08 00:15:32.6374+02","62","Lamp 3","Stylish and practical lamp that creates a cozy atmosphere.","SKU0062","Home","37"
"True","294.45","2025-02-19 00:15:32.6374+01","63","Water Bottle 4","High-performance insulated water bottle for all your adventures.","SKU0063","Home","52"
"False","29.81","2025-03-20 00:15:32.6374+01","64","Science Fiction Novel 5","Inspiring and informative mystery thriller that keeps you guessing.","SKU0064","Books;Sports","147"
"True","1126.61","2025-12-05 00:15:32.6374+01","65","Laptop 6","High-quality high-performance smartphone with latest features.","SKU0065","Electronics","37"
"True","91.28","2025-09-24 00:15:32.6374+02","66","T-Shirt G7","Comfortable and stylish casual dress for any occasion.","SKU0066","Clothing","107"
"True","417.57","2025-06-11 00:15:32.6374+02","67","Lamp 3","Modern and functional lamp that creates a cozy atmosphere.","SKU0067","Home","48"
"True","104.88","2025-02-25 00:15:32.6374+01","68","Basketball 4","Premium quality basketball for indoor and outdoor play.","SKU0068","Sports","43"
"True","9.41","2025-08-21 00:15:32.6374+02","69","Fantasy Epic 10","Engaging and thought-provoking mystery thriller that keeps you guessing.","SKU0069","Books","35"
"False","1585.49","2025-05-11 00:15:32.6374+02","70","Gaming Console 2","High-quality professional-grade smartphone with latest features.","SKU0070","Electronics","8"
"True","190.70","2025-05-04 00:15:32.6374+02","71","Shorts L4","Comfortable and stylish trendy jacket for all seasons.","SKU0071","Clothing","29"
"False","376.49","2025-06-11 00:15:32.6374+02","72","Lamp 3","Elegant and durable lamp that creates a cozy atmosphere.","SKU0072","Home","155"
"False","217.91","2025-05-21 00:15:32.6374+02","73","Running Shoes 4","Durable and reliable running shoes for maximum comfort.","SKU0073","Clothing;Sports","30"
"True","31.31","2025-01-03 00:15:32.6374+01","74","Self-Help Guide 15","Captivating and well-written mystery thriller that keeps you guessing.","SKU0074","Books","32"
"True","374.04","2025-10-15 00:15:32.6374+02","75","Smart Watch 4","High-quality premium smartphone with latest features.","SKU0075","Electronics","180"
"True","29.55","2025-05-10 00:15:32.6374+02","76","Hoodie Q7","Comfortable and stylish fashionable t-shirt made from premium cotton.","SKU0076","Clothing","22"
"True","403.26","2025-08-04 00:15:32.6374+02","77","Lamp 3","Stylish and practical lamp that creates a cozy atmosphere.","SKU0077","Home","109"
"True","108.75","2025-07-27 00:15:32.6374+02","78","Yoga Mat 4","High-performance yoga mat with excellent grip.","SKU0078","Sports","19"
"True","30.80","2025-03-17 00:15:32.6374+01","79","Business Strategy 20","Inspiring and informative mystery thriller that keeps you guessing.","SKU0079","Books;Sports","20"
"True","1344.51","2025-08-10 00:15:32.6374+02","80","Smartphone 1","High-quality high-performance smartphone with latest features.","SKU0080","Electronics","35"
"True","98.59","2024-12-30 00:15:32.6374+01","81","Jacket B2","Comfortable and stylish casual jeans with perfect fit.","SKU0081","Clothing","286"
"True","394.52","2025-12-18 00:15:32.6374+01","82","Lamp 3","Modern and functional lamp that creates a cozy atmosphere.","SKU0082","Home","34"
"True","70.12","2025-04-02 00:15:32.6374+02","83","Water Bottle 4","Premium quality insulated water bottle for all your adventures.","SKU0083","Home","100"
"True","39.39","2025-06-12 00:15:32.6374+02","84","Mystery Thriller 5","Engaging and thought-provoking mystery thriller that keeps you guessing.","SKU0084","Books","2"
"True","1025.10","2025-07-18 00:15:32.6374+02","85","Bluetooth Speaker 6","High-quality professional-grade smartphone with latest features.","SKU0085","Electronics","3"
"True","143.17","2025-08-31 00:15:32.6374+02","86","Dress G3","Comfortable and stylish trendy dress for any occasion.","SKU0086","Clothing","29"
"True","445.48","2025-09-13 00:15:32.6374+02","87","Lamp 3","Elegant and durable lamp that creates a cozy atmosphere.","SKU0087","Home","42"
"True","219.09","2025-01-09 00:15:32.6374+01","88","Basketball 4","Durable and reliable basketball for indoor and outdoor play.","SKU0088","Sports","72"
"True","49.59","2025-01-27 00:15:32.6374+01","89","Cookbook 10","Captivating and well-written mystery thriller that keeps you guessing.","SKU0089","Books","48"
"False","934.35","2025-12-08 00:15:32.6374+01","90","Headphones 1","High-quality premium smartphone with latest features.","SKU0090","Electronics","2"
"True","112.62","2025-08-17 00:15:32.6374+02","91","Jeans L4","Comfortable and stylish fashionable jacket for all seasons.","SKU0091","Clothing","136"
"True","413.85","2025-06-25 00:15:32.6374+02","92","Lamp 3","Stylish and practical lamp that creates a cozy atmosphere.","SKU0092","Home","49"
"True","36.91","2025-10-15 00:15:32.6374+02","93","Running Shoes 4","High-performance running shoes for maximum comfort.","SKU0093","Clothing;Sports","140"
"False","26.37","2024-12-27 00:15:32.6374+01","94","Historical Fiction 15","Inspiring and informative mystery thriller that keeps you guessing.","SKU0094","Books;Sports","9"
"True","182.34","2025-12-08 00:15:32.6374+01","95","Fitness Tracker 1","High-quality high-performance smartphone with latest features.","SKU0095","Electronics;Sports","50"
"True","168.12","2025-12-02 00:15:32.6374+01","96","T-Shirt Q7","Comfortable and stylish casual t-shirt made from premium cotton.","SKU0096","Clothing","11"
"True","311.96","2025-11-21 00:15:32.6374+01","97","Lamp 3","Modern and functional lamp that creates a cozy atmosphere.","SKU0097","Home","46"
"True","114.42","2025-04-15 00:15:32.6374+02","98","Yoga Mat 4","Premium quality yoga mat with excellent grip.","SKU0098","Sports","243"
"True","48.38","2025-04-29 00:15:32.6374+02","99","Biography 20","Engaging and thought-provoking mystery thriller that keeps you guessing.","SKU0099","Books","11"
"True","1451.04","2025-06-22 00:15:32.6374+02","100","Tablet 1","High-quality professional-grade smartphone with latest features.","SKU0100","Electronics","41"
"True","127.40","2025-08-18 00:15:32.6374+02","101","Shorts B2","Comfortable and stylish trendy jeans with perfect fit.","SKU0101","Clothing","27"
"True","125.86","2025-09-30 00:15:32.6374+02","102","Lamp 3","Elegant and durable lamp that creates a cozy atmosphere.","SKU0102","Home","37"
"True","36.74","2025-05-13 00:15:32.6374+02","103","Water Bottle 4","Durable and reliable insulated water bottle for all your adventures.","SKU0103","Home","38"
"True","24.92","2025-07-07 00:15:32.6374+02","104","Science Fiction Novel 5","Captivating and well-written mystery thriller that keeps you guessing.","SKU0104","Books","37"
"True","1808.03","2025-11-22 00:15:32.6374+01","105","Laptop 6","High-quality premium smartphone with latest features.","SKU0105","Electronics","21"
"True","150.53","2025-03-23 00:15:32.6374+01","106","Hoodie G2","Comfortable and stylish fashionable dress for any occasion.","SKU0106","Clothing","22"
"True","391.02","2025-07-10 00:15:32.6374+02","107","Lamp 3","Stylish and practical lamp that creates a cozy atmosphere.","SKU0107","Home","154"
"True","15.16","2025-11-18 00:15:32.6374+01","108","Basketball 4","High-performance basketball for indoor and outdoor play.","SKU0108","Sports","33"
"True","29.86","2025-12-19 00:15:32.6374+01","109","Fantasy Epic 10","Inspiring and informative mystery thriller that keeps you guessing.","SKU0109","Books;Sports","48"
"True","1228.58","2025-04-13 00:15:32.6374+02","110","Gaming Console 3","High-quality high-performance smartphone with latest features.","SKU0110","Electronics","113"
"True","111.89","2025-04-20 00:15:32.6374+02","111","Jacket L2","Comfortable and stylish casual jacket for all seasons.","SKU0111","Clothing","0"
"True","24.37","2025-05-26 00:15:32.6374+02","112","Lamp 3","Modern and functional lamp that creates a cozy atmosphere.","SKU0112","Home","159"
"True","268.53","2025-06-14 00:15:32.6374+02","113","Running Shoes 4","Premium quality running shoes for maximum comfort.","SKU0113","Clothing;Sports","27"
"True","11.07","2025-04-13 00:15:32.6374+02","114","Self-Help Guide 15","Engaging and thought-provoking mystery thriller that keeps you guessing.","SKU0114","Books","27"
"True","572.45","2025-01-09 00:15:32.6374+01","115","Smart Watch 4","High-quality professional-grade smartphone with latest features.","SKU0115","Electronics","38"
"True","22.95","2025-06-16 00:15:32.6374+02","116","Dress Q3","Comfortable and stylish trendy t-shirt made from premium cotton.","SKU0116","Clothing","111"
"True","213.78","2025-02-20 00:15:32.6374+01","117","Lamp 3","Elegant and durable lamp that creates a cozy atmosphere.","SKU0117","Home","18"
"False","103.11","2025-06-13 00:15:32.6374+02","118","Yoga Mat 4","Durable and reliable yoga mat with excellent grip.","SKU0118","Sports","12"
"False","49.00","2025-09-24 00:15:32.6374+02","119","Business Strategy 20","Captivating and well-written mystery thriller that keeps you guessing.","SKU0119","Books","9"
"True","1521.10","2025-12-22 00:15:32.6374+01","120","Smartphone 1","High-quality premium smartphone with latest features.","SKU0120","Electronics","46"
"True","74.69","2025-12-04 00:15:32.6374+01","121","Jeans B2","Comfortable and stylish fashionable jeans with perfect fit.","SKU0121","Clothing","12"
"False","88.77","2025-07-26 00:15:32.6374+02","122","Lamp 3","Stylish and practical lamp that creates a cozy atmosphere.","SKU0122","Home","98"
"True","16.97","2025-05-21 00:15:32.6374+02","123","Water Bottle 4","High-performance insulated water bottle for all your adventures.","SKU0123","Home","84"
"True","46.11","2025-09-04 00:15:32.6374+02","124","Mystery Thriller 5","Inspiring and informative mystery thriller that keeps you guessing.","SKU0124","Books;Sports","25"
"True","1301.11","2025-01-11 00:15:32.6374+01","125","Bluetooth Speaker 6","High-quality high-performance smartphone with latest features.","SKU0125","Electronics","17"
"True","154.29","2025-09-26 00:15:32.6374+02","126","T-Shirt G7","Comfortable and stylish casual dress for any occasion.","SKU0126","Clothing","87"
"True","116.88","2025-05-13 00:15:32.6374+02","127","Lamp 3","Modern and functional lamp that creates a cozy atmosphere.","SKU0127","Home","13"
"True","278.85","2025-12-20 00:15:32.6374+01","128","Basketball 4","Premium quality basketball for indoor and outdoor play.","SKU0128","Sports","32"
"True","27.35","2025-12-07 00:15:32.6374+01","129","Cookbook 10","Engaging and thought-provoking mystery thriller that keeps you guessing.","SKU0129","Books","23"
"True","1980.43","2025-01-07 00:15:32.6374+01","130","Headphones 11","High-quality professional-grade smartphone with latest features.","SKU0130","Electronics","6"
"True","49.94","2025-02-24 00:15:32.6374+01","131","Shorts L4","Comfortable and stylish trendy jacket for all seasons.","SKU0131","Clothing","33"
"True","237.78","2025-01-27 00:15:32.6374+01","132","Lamp 3","Elegant and durable lamp that creates a cozy atmosphere.","SKU0132","Home","38"
"True","290.25","2025-05-22 00:15:32.6374+02","133","Running Shoes 4","Durable and reliable running shoes for maximum comfort.","SKU0133","Clothing;Sports","36"
"False","6.26","2025-09-15 00:15:32.6374+02","134","Historical Fiction 15","Captivating and well-written mystery thriller that keeps you guessing.","SKU0134","Books","70"
"True","1641.46","2025-06-25 00:15:32.6374+02","135","Fitness Tracker 1","High-quality premium smartphone with latest features.","SKU0135","Electronics;Sports","161"
"True","39.13","2025-08-29 00:15:32.6374+02","136","Hoodie Q4","Comfortable and stylish fashionable t-shirt made from premium cotton.","SKU0136","Clothing","19"
"True","238.78","2025-01-21 00:15:32.6374+01","137","Lamp 3","Stylish and practical lamp that creates a cozy atmosphere.","SKU0137","Home","456"
"True","74.28","2025-05-27 00:15:32.6374+02","138","Yoga Mat 4","High-performance yoga mat with excellent grip.","SKU0138","Sports","75"
"True","24.51","2025-06-27 00:15:32.6374+02","139","Biography 20","Inspiring and informative mystery thriller that keeps you guessing.","SKU0139","Books;Sports","0"
"True","1115.55","2025-04-11 00:15:32.6374+02","140","Tablet 1","High-quality high-performance smartphone with latest features.","SKU0140","Electronics","27"
"True","43.89","2025-01-07 00:15:32.6374+01","141","Jacket B2","Comfortable and stylish casual jeans with perfect fit.","SKU0141","Clothing","46"
"True","75.47","2025-04-16 00:15:32.6374+02","142","Lamp 3","Modern and functional lamp that creates a cozy atmosphere.","SKU0142","Home","19"
"True","29.44","2025-06-29 00:15:32.6374+02","143","Water Bottle 4","Premium quality insulated water bottle for all your adventures.","SKU0143","Home","37"
"True","31.82","2025-11-10 00:15:32.6374+01","144","Science Fiction Novel 5","Engaging and thought-provoking mystery thriller that keeps you guessing.","SKU0144","Books","152"
"True","1240.17","2025-06-05 00:15:32.6374+02","145","Laptop 6","High-quality professional-grade smartphone with latest features.","SKU0145","Electronics","466"
"True","105.31","2025-11-21 00:15:32.6374+01","146","Dress G3","Comfortable and stylish trendy dress for any occasion.","SKU0146","Clothing","321"
"True","489.56","2025-09-02 00:15:32.6374+02","147","Lamp 3","Elegant and durable lamp that creates a cozy atmosphere.","SKU0147","Home","46"
"True","217.44","2025-10-11 00:15:32.6374+02","148","Basketball 4","Durable and reliable basketball for indoor and outdoor play.","SKU0148","Sports","48"
"True","11.34","2025-12-17 00:15:32.6374+01","149","Fantasy Epic 10","Captivating and well-written mystery thriller that keeps you guessing.","SKU0149","Books","25"
"False","832.44","2025-10-06 00:15:32.6374+02","150","Gaming Console 1","High-quality premium smartphone with latest features.","SKU0150","Electronics","27"
"False","110.94","2025-07-24 00:15:32.6374+02","151","Jeans L8","Comfortable and stylish fashionable jacket for all seasons.","SKU0151","Clothing","18"
"True","256.16","2025-09-11 00:15:32.6374+02","152","Lamp 3","Stylish and practical lamp that creates a cozy atmosphere.","SKU0152","Home","265"
"True","66.90","2025-06-15 00:15:32.6374+02","153","Running Shoes 4","High-performance running shoes for maximum comfort.","SKU0153","Clothing;Sports","22"
"True","47.34","2025-03-05 00:15:32.6374+01","154","Self-Help Guide 15","Inspiring and informative mystery thriller that keeps you guessing.","SKU0154","Books;Sports","30"
"True","1604.07","2025-02-15 00:15:32.6374+01","155","Smart Watch 4","High-quality high-performance smartphone with latest features.","SKU0155","Electronics","181"
"True","44.91","2025-01-07 00:15:32.6374+01","156","T-Shirt Q7","Comfortable and stylish casual t-shirt made from premium cotton.","SKU0156","Clothing","32"
"True","398.17","2025-11-15 00:15:32.6374+01","157","Lamp 3","Modern and functional lamp that creates a cozy atmosphere.","SKU0157","Home","182"
"True","176.67","2025-08-26 00:15:32.6374+02","158","Yoga Mat 4","Premium quality yoga mat with excellent grip.","SKU0158","Sports","336"
"True","43.85","2025-02-20 00:15:32.6374+01","159","Business Strategy 20","Engaging and thought-provoking mystery thriller that keeps you guessing.","SKU0159","Books","24"
"True","506.92","2025-01-16 00:15:32.6374+01","160","Smartphone 1","High-quality professional-grade smartphone with latest features.","SKU0160","Electronics","76"
"True","107.62","2025-05-04 00:15:32.6374+02","161","Shorts B2","Comfortable and stylish trendy jeans with perfect fit.","SKU0161","Clothing","48"
"True","32.84","2025-06-26 00:15:32.6374+02","162","Lamp 3","Elegant and durable lamp that creates a cozy atmosphere.","SKU0162","Home","31"
"True","77.60","2025-10-26 00:15:32.6374+02","163","Water Bottle 4","Durable and reliable insulated water bottle for all your adventures.","SKU0163","Home","90"
"True","36.86","2025-09-05 00:15:32.6374+02","164","Mystery Thriller 5","Captivating and well-written mystery thriller that keeps you guessing.","SKU0164","Books","41"
"True","543.88","2025-06-17 00:15:32.6374+02","165","Bluetooth Speaker 6","High-quality premium smartphone with latest features.","SKU0165","Electronics","26"
"True","142.38","2025-05-01 00:15:32.6374+02","166","Hoodie G6","Comfortable and stylish fashionable dress for any occasion.","SKU0166","Clothing","0"
"True","445.07","2025-08-27 00:15:32.6374+02","167","Lamp 3","Stylish and practical lamp that creates a cozy atmosphere.","SKU0167","Home","37"
"True","129.67","2025-11-11 00:15:32.6374+01","168","Basketball 4","High-performance basketball for indoor and outdoor play.","SKU0168","Sports","27"
"True","35.98","2025-10-17 00:15:32.6374+02","169","Cookbook 10","Inspiring and informative mystery thriller that keeps you guessing.","SKU0169","Books;Sports","16"
"True","1087.23","2025-05-24 00:15:32.6374+02","170","Headphones 6","High-quality high-performance smartphone with latest features.","SKU0170","Electronics","33"
"True","75.70","2025-10-24 00:15:32.6374+02","171","Jacket L2","Comfortable and stylish casual jacket for all seasons.","SKU0171","Clothing","278"
"True","139.28","2025-08-06 00:15:32.6374+02","172","Lamp 3","Modern and functional lamp that creates a cozy atmosphere.","SKU0172","Home","0"
"True","186.02","2025-11-05 00:15:32.6374+01","173","Running Shoes 4","Premium quality running shoes for maximum comfort.","SKU0173","Clothing;Sports","2"
"True","21.49","2025-07-28 00:15:32.6374+02","174","Historical Fiction 15","Engaging and thought-provoking mystery thriller that keeps you guessing.","SKU0174","Books","4"
"True","1983.30","2025-05-29 00:15:32.6374+02","175","Fitness Tracker 1","High-quality professional-grade smartphone with latest features.","SKU0175","Electronics;Sports","19"
"True","109.54","2025-11-16 00:15:32.6374+01","176","Dress Q3","Comfortable and stylish trendy t-shirt made from premium cotton.","SKU0176","Clothing","380"
"True","182.98","2025-03-13 00:15:32.6374+01","177","Lamp 3","Elegant and durable lamp that creates a cozy atmosphere.","SKU0177","Home","300"
"True","85.74","2025-10-19 00:15:32.6374+02","178","Yoga Mat 4","Durable and reliable yoga mat with excellent grip.","SKU0178","Sports","48"
"True","32.52","2025-10-26 00:15:32.6374+02","179","Biography 20","Captivating and well-written mystery thriller that keeps you guessing.","SKU0179","Books","44"
"True","1934.43","2025-06-16 00:15:32.6374+02","180","Tablet 1","High-quality premium smartphone with latest features.","SKU0180","Electronics","312"
"True","124.42","2025-04-18 00:15:32.6374+02","181","Jeans B6","Comfortable and stylish fashionable jeans with perfect fit.","SKU0181","Clothing","6"
"True","462.84","2025-12-09 00:15:32.6374+01","182","Lamp 3","Stylish and practical lamp that creates a cozy atmosphere.","SKU0182","Home","184"
"True","171.54","2025-09-12 00:15:32.6374+02","183","Water Bottle 4","High-performance insulated water bottle for all your adventures.","SKU0183","Home","12"
"True","25.03","2025-02-14 00:15:32.6374+01","184","Science Fiction Novel 5","Inspiring and informative mystery thriller that keeps you guessing.","SKU0184","Books;Sports","19"
"True","750.16","2025-01-27 00:15:32.6374+01","185","Laptop 6","High-quality high-performance smartphone with latest features.","SKU0185","Electronics","38"
"True","121.35","2025-01-15 00:15:32.6374+01","186","T-Shirt G7","Comfortable and stylish casual dress for any occasion.","SKU0186","Clothing","34"
"True","52.17","2025-03-10 00:15:32.6374+01","187","Lamp 3","Modern and functional lamp that creates a cozy atmosphere.","SKU0187","Home","28"
"True","235.96","2025-01-03 00:15:32.6374+01","188","Basketball 4","Premium quality basketball for indoor and outdoor play.","SKU0188","Sports","62"
"True","26.29","2025-02-09 00:15:32.6374+01","189","Fantasy Epic 10","Engaging and thought-provoking mystery thriller that keeps you guessing.","SKU0189","Books","38"
"True","1996.22","2025-08-03 00:15:32.6374+02","190","Gaming Console 2","High-quality professional-grade smartphone with latest features.","SKU0190","Electronics","40"
"True","145.29","2025-12-25 00:15:32.6374+01","191","Shorts L4","Comfortable and stylish trendy jacket for all seasons.","SKU0191","Clothing","35"
"True","426.59","2025-04-22 00:15:32.6374+02","192","Lamp 3","Elegant and durable lamp that creates a cozy atmosphere.","SKU0192","Home","48"
"True","72.75","2025-01-23 00:15:32.6374+01","193","Running Shoes 4","Durable and reliable running shoes for maximum comfort.","SKU0193","Clothing;Sports","42"
"True","17.63","2025-07-25 00:15:32.6374+02","194","Self-Help Guide 15","Captivating and well-written mystery thriller that keeps you guessing.","SKU0194","Books","2"
"True","186.68","2025-09-14 00:15:32.6374+02","195","Smart Watch 4","High-quality premium smartphone with latest features.","SKU0195","Electronics","26"
"True","61.88","2025-08-18 00:15:32.6374+02","196","Hoodie Q1","Comfortable and stylish fashionable t-shirt made from premium cotton.","SKU0196","Clothing","152"
